0.081224	1	0.081224
0.162396	2	0.081198
0.243213	3	0.081071
0.325209	4	0.081302
0.405767	5	0.081153
0.487403	6	0.081234
0.568193	7	0.081170
0.649177	8	0.081147
0.730437	9	0.081160
0.811652	10	0.081165
0.892763	11	0.081160
0.973671	12	0.081139
1.055151	13	0.081165
1.135741	14	0.081124
1.217473	15	0.081165
1.298547	16	0.081159
1.380079	17	0.081181
1.460654	18	0.081147
1.556082	19	0.081899
1.623912	20	0.081196
1.775795	21	0.084562
1.821162	22	0.082780
1.884198	23	0.081922
1.966239	24	0.081927
2.028582	25	0.081143
2.109677	26	0.081141
2.190711	27	0.081137
2.273912	28	0.081211
2.353854	29	0.081167
2.436948	30	0.081232
2.515127	31	0.081133
2.600101	32	0.081253
2.678490	33	0.081166
2.759517	34	0.081162
2.839839	35	0.081138
2.922029	36	0.081167
3.004940	37	0.081215
3.084232	38	0.081164
3.195940	39	0.081947
3.275989	40	0.081900
3.359502	41	0.081939
3.440490	42	0.081916
3.490273	43	0.081169
3.574720	44	0.081244
3.651517	45	0.081145
3.732395	46	0.081139
3.815046	47	0.081171
3.895583	48	0.081158
3.977560	49	0.081175
4.057585	50	0.081152
4.137620	51	0.081130
4.220100	52	0.081156
4.304058	53	0.081209
4.382771	54	0.081162
4.504715	55	0.081904
4.587184	56	0.081914
4.644005	57	0.081474
4.704036	58	0.081104
4.795593	59	0.081281
4.868985	60	0.081150
4.955603	61	0.081239
5.031897	62	0.081160
5.110529	63	0.081120
5.193102	64	0.081142
5.274615	65	0.081148
5.355459	66	0.081143
5.435697	67	0.081130
5.518174	68	0.081150
5.598337	69	0.081135
5.680982	70	0.081157
5.762327	71	0.081160
5.843774	72	0.081164
5.924818	73	0.081162
6.057645	74	0.081860
6.086222	75	0.081150
6.225245	76	0.081911
6.313045	77	0.081988
6.329402	78	0.081146
6.419124	79	0.081255
6.489979	80	0.081125
6.578455	81	0.081215
6.654303	82	0.081150
6.739498	83	0.081199
6.816723	84	0.081151
6.903101	85	0.081213
6.979733	86	0.081160
7.064173	87	0.081197
7.142022	88	0.081159
7.222705	89	0.081154
7.307290	90	0.081192
7.380170	91	0.081101
7.470760	92	0.081204
7.544763	93	0.081126
7.632950	94	0.081202
7.710592	95	0.081164
7.795953	96	0.081208
7.867650	97	0.081110
7.950505	98	0.081128
8.034140	99	0.081153
8.109494	100	0.081095
