0.402823	1	0.402823
0.797115	2	0.398558
1.205732	3	0.401911
1.629145	4	0.407286
2.036930	5	0.407386
2.444930	6	0.407488
2.851143	7	0.407306
3.259454	8	0.407432
3.666175	9	0.407353
4.075530	10	0.407553
4.481662	11	0.407424
4.890785	12	0.407565
5.296803	13	0.407446
5.705658	14	0.407547
6.111787	15	0.407452
6.521817	16	0.407614
6.926387	17	0.407435
7.381952	18	0.410108
7.814149	19	0.411271
8.379725	20	0.418986
8.882422	21	0.422972
9.074770	22	0.412490
9.456443	23	0.411150
9.809015	24	0.408709
10.180816	25	0.407233
10.592554	26	0.407406
10.997806	27	0.407326
11.407732	28	0.407419
11.808545	29	0.407191
12.223863	30	0.407462
12.627035	31	0.407324
13.032402	32	0.407263
13.439906	33	0.407270
13.857035	34	0.407560
14.257677	35	0.407362
14.675635	36	0.407657
15.067995	37	0.407243
15.538351	38	0.408904
16.027466	39	0.410961
16.455439	40	0.411386
16.854797	41	0.411093
17.228867	42	0.410211
17.514635	43	0.407317
17.929243	44	0.407483
18.322335	45	0.407163
18.743910	46	0.407476
19.142016	47	0.407277
19.553015	48	0.407354
19.947184	49	0.407085
20.367402	50	0.407348
20.770787	51	0.407270
21.190886	52	0.407517
21.580428	53	0.407178
21.989708	54	0.407217
22.610485	55	0.411100
23.026777	56	0.411192
23.222725	57	0.407416
23.623851	58	0.407308
24.035507	59	0.407381
24.443248	60	0.407387
24.840459	61	0.407221
25.245157	62	0.407180
25.659609	63	0.407295
26.055435	64	0.407116
26.475554	65	0.407316
26.872490	66	0.407159
27.288616	67	0.407293
27.685472	68	0.407139
28.103101	69	0.407291
28.508540	70	0.407265
28.920229	71	0.407327
29.326355	72	0.407310
29.944591	73	0.410200
30.417104	74	0.411042
30.758648	75	0.410115
31.244653	76	0.411114
31.457361	77	0.408537
31.763114	78	0.407219
32.193863	79	0.407517
32.580545	80	0.407257
33.001393	81	0.407425
33.407739	82	0.407411
33.826430	83	0.407547
34.207973	84	0.407238
34.631648	85	0.407431
35.006291	86	0.407050
35.442375	87	0.407384
35.832444	88	0.407187
36.271590	89	0.407546
36.658453	90	0.407316
37.084038	91	0.407517
37.475334	92	0.407341
37.907719	93	0.407610
38.289998	94	0.407340
38.710781	95	0.407482
39.083053	96	0.407115
39.527329	97	0.407498
39.915324	98	0.407299
40.357683	99	0.407653
40.732265	100	0.407323
